DeviceTime,S1_Ch1,S1_Ch2,S1_Ch3,S1_Ch4,S1_Ch5,S1_Ch6
2026-03-25 21:33:40.526,0.16083016991615295,-0.041731495410203934,-0.2054014801979065,-0.0004624369612429291,0.0005323271034285426,-0.00047725578770041466
2026-03-25 21:33:40.528,0.14700770378112793,-0.04864617437124252,-0.20075103640556335,-0.00028628765721805394,0.0005923673161305487,-0.0005130140925757587
2026-03-25 21:33:40.530,0.15218254923820496,-0.042722538113594055,-0.19967739284038544,-0.0005915763322263956,0.00035926103009842336,-0.0002806898846756667
2026-03-25 21:33:40.533,0.16109608113765717,-0.04696601629257202,-0.2069660872220993,-0.00042128516361117363,0.00024482959997840226,-0.00028566873515956104
2026-03-25 21:33:40.535,0.15534105896949768,-0.05696230009198189,-0.20401927828788757,-0.00024157868756446987,0.0003516716242302209,-0.0003258652286604047
2026-03-25 21:33:40.537,0.15369366109371185,-0.05126107484102249,-0.2012460082769394,-0.000268360337940976,0.00011122417345177382,-0.00030142112518660724
2026-03-25 21:33:40.539,0.14527951180934906,-0.055620741099119186,-0.1987653225660324,-0.00044854742009192705,0.0003913263790309429,-0.00031274123466573656
2026-03-25 21:33:40.543,0.14647239446640015,-0.05380227416753769,-0.19506944715976715,-0.0004857911844737828,0.00040091582923196256,-0.00018109158554580063
2026-03-25 21:33:40.545,0.16218861937522888,-0.04798797518014908,-0.20356789231300354,-0.00022253311180975288,0.0005055254441685975,-0.00030976516427472234
2026-03-25 21:33:40.547,0.15913048386573792,-0.0501987524330616,-0.19120745360851288,-0.00022498975158669055,0.0005638638394884765,-0.00030849321046844125
2026-03-25 21:33:40.549,0.15827740728855133,-0.05078786984086037,-0.18305988609790802,-0.0003177199396304786,0.0006063856417313218,-0.00029362388886511326
2026-03-25 21:33:40.551,0.1644369214773178,-0.05599610507488251,-0.18997922539710999,-0.000214370884350501,0.0005159935681149364,-0.00020972562197130173
2026-03-25 21:33:40.553,0.15538279712200165,-0.05574095621705055,-0.19937914609909058,-0.00035096632200293243,0.0004386176588013768,-0.00033527909545227885
2026-03-25 21:33:40.555,0.1507754921913147,-0.057797737419605255,-0.19141368567943573,-0.0003118772292509675,0.00042939282138831913,-0.00027072333614341915
2026-03-25 21:33:40.557,0.16207647323608398,-0.0649956539273262,-0.20276127755641937,-0.00023389040143229067,0.0005095655214972794,-0.00019474371219985187
2026-03-25 21:33:40.559,0.15300895273685455,-0.0599173940718174,-0.18183653056621552,-7.119603105820715e-05,0.00042723555816337466,-0.00034469555248506367
