DeviceTime,S1_Ch1,S1_Ch2,S1_Ch3,S1_Ch4,S1_Ch5,S1_Ch6
2026-03-25 21:35:16.224,0.001313260174356401,0.10788457840681076,0.10571526736021042,0.0006199998315423727,0.0005806220578961074,0.00035042938543483615
2026-03-25 21:35:16.226,0.0025326432660222054,0.10481227934360504,0.11262116581201553,0.000604818167630583,0.00044544675620272756,0.00032306593493558466
2026-03-25 21:35:16.228,0.00733149191364646,0.10812073945999146,0.10812505334615707,0.0008268829551525414,0.000683697871863842,0.0003229920694138855
2026-03-25 21:35:16.230,0.011397880502045155,0.09939586371183395,0.11817151308059692,0.0006705218111164868,0.0004959616926498711,0.000283631932688877
2026-03-25 21:35:16.232,0.012833494693040848,0.10076024383306503,0.09461697936058044,0.0006462159799411893,0.0006214601453393698,0.00028594263130798936
2026-03-25 21:35:16.234,0.00813629012554884,0.10871226340532303,0.10433220863342285,0.0005334023153409362,0.00045813489123247564,0.00031709918403066695
2026-03-25 21:35:16.236,0.0009098647278733552,0.11285360157489777,0.10482726246118546,0.0005247076624073088,0.0005933484062552452,0.000500462600030005
2026-03-25 21:35:16.238,0.007947233505547047,0.11055445671081543,0.09888569265604019,0.0005728209507651627,0.0004091137379873544,0.00035779341123998165
2026-03-25 21:35:16.240,0.011173599399626255,0.11039640009403229,0.10262525081634521,0.0006061676540412009,0.0005598290008492768,0.00035404719528742135
2026-03-25 21:35:16.242,0.014620316214859486,0.09845572710037231,0.09994625300168991,0.0006145017687231302,0.0005443916888907552,0.00035229421337135136
2026-03-25 21:35:16.244,0.0035726656205952168,0.10354521870613098,0.11231385171413422,0.0007616144721396267,0.0005412273458205163,0.000322860199958086
2026-03-25 21:35:16.246,0.005572033580392599,0.10781987011432648,0.11062406003475189,0.0007917676703073084,0.0003875707625411451,0.00043410519720055163
2026-03-25 21:35:16.248,-0.0005234807613305748,0.10152725130319595,0.11204925924539566,0.0006980004254728556,0.0005301705095916986,0.0002941227867268026
2026-03-25 21:35:16.250,0.010871552862226963,0.10262203216552734,0.10931138694286346,0.000675584131386131,0.0005134419188834727,0.00023538149252999574
2026-03-25 21:35:16.252,0.015570469200611115,0.10697215795516968,0.11463131010532379,0.0006920163868926466,0.0004921992658637464,0.00028680459945462644
2026-03-25 21:35:16.254,0.01805775612592697,0.1088806539773941,0.12163776159286499,0.000590663286857307,0.0006169985863380134,0.00037607623380608857
2026-03-25 21:35:16.256,0.009838050231337547,0.1109611764550209,0.0980769693851471,0.0006247612764127553,0.0005108444602228701,0.0005065048462711275
2026-03-25 21:35:16.258,0.002530373865738511,0.10718383640050888,0.10237319022417068,0.0005635737907141447,0.00035318921436555684,0.0004031634016428143
2026-03-25 21:35:16.260,0.005448602605611086,0.10675229132175446,0.10801711678504944,0.0006280522793531418,0.00038192496867850423,0.0003561885969247669
2026-03-25 21:35:16.262,0.01295306533575058,0.1036115288734436,0.09582304954528809,0.0007530022994615138,0.000616775534581393,0.00011319739132886752
2026-03-25 21:35:16.265,0.012276655063033104,0.10536765307188034,0.1095757782459259,0.0005793950404040515,0.0007113098981790245,0.0002730865962803364
2026-03-25 21:35:16.267,0.010232682339847088,0.10989037901163101,0.1129266768693924,0.0006169282714836299,0.0004989248118363321,0.0003455119440332055
2026-03-25 21:35:16.270,-0.0009891749359667301,0.11035574227571487,0.11476752161979675,0.00047080437070690095,0.0005257947486825287,0.0002976706891786307
2026-03-25 21:35:16.271,0.004809857811778784,0.10262992978096008,0.11306354403495789,0.00045811926247552037,0.00046321554691530764,0.0003578150935936719
2026-03-25 21:35:16.273,0.014352662488818169,0.10104478150606155,0.11296209692955017,0.0007513936143368483,0.00031756138196215034,0.00029407910187728703
2026-03-25 21:35:16.275,0.015434387139976025,0.10205088555812836,0.1039290726184845,0.0009113856358453631,0.0005123473238199949,0.00040417443960905075
2026-03-25 21:35:16.277,0.01609661802649498,0.10384023934602737,0.10884813219308853,0.0009103140910156071,0.0004011317214462906,0.00025009302771650255
2026-03-25 21:35:16.280,0.01405270304530859,0.10909584909677505,0.11597820371389389,0.0006502222968265414,0.0003964961797464639,0.00035168236354365945
2026-03-25 21:35:16.282,0.015048897825181484,0.1098877564072609,0.10670755803585052,0.000542566878721118,0.0002457761438563466,0.0003192140720784664
